x      , v      , u      
0.18719, 0.66644, 0.65899
0.18819, 0.66697, 0.65952
0.18919, 0.66748, 0.66003
0.19019, 0.66797, 0.66053
0.19119, 0.66845, 0.66102
0.19219, 0.66891, 0.66149
0.19319, 0.66936, 0.66195
0.19419, 0.66979, 0.66239
 0.1952, 0.67021, 0.66282
 0.1962, 0.67062, 0.66323
 0.1972, 0.67101, 0.66363
 0.1982, 0.67139, 0.66401
 0.1992, 0.67175, 0.66439
 0.2002,  0.6721, 0.66474
 0.2012, 0.67244, 0.66509
 0.2022, 0.67276, 0.66542
 0.2032, 0.67307, 0.66574
 0.2042, 0.67337, 0.66604
0.20521, 0.67365, 0.66633
0.20621, 0.67392, 0.66661
0.20721, 0.67418, 0.66688
0.20821, 0.67442, 0.66713
0.20921, 0.67466, 0.66737
0.21021, 0.67488,  0.6676
0.21121, 0.67508, 0.66782
0.21221, 0.67528, 0.66802
0.21321, 0.67546, 0.66821
0.21421, 0.67564, 0.66839
0.21522,  0.6758, 0.66856
0.21622, 0.67595, 0.66872
0.21722, 0.67608, 0.66886
0.21822, 0.67621,   0.669
0.21922, 0.67632, 0.66912
0.22022, 0.67643, 0.66923
0.22122, 0.67652, 0.66933
0.22222,  0.6766, 0.66942
0.22322, 0.67667,  0.6695
0.22422, 0.67673, 0.66957
0.22523, 0.67678, 0.66962
0.22623, 0.67682, 0.66967
0.22723, 0.67685, 0.66971
0.22823, 0.67686, 0.66973
0.22923, 0.67687, 0.66975
0.23023, 0.67687, 0.66975
0.23123, 0.67686, 0.66975
0.23223, 0.67683, 0.66973
0.23323,  0.6768, 0.66971
0.23423, 0.67676, 0.66967
0.23524, 0.67671, 0.66963
0.23624, 0.67665, 0.66958
0.23724, 0.67658, 0.66951
0.23824,  0.6765, 0.66944
0.23924, 0.67641, 0.66936
0.24024, 0.67631, 0.66927
0.24124,  0.6762, 0.66917
0.24224, 0.67608, 0.66906
0.24324, 0.67596, 0.66894
0.24424, 0.67582, 0.66882
0.24525, 0.67568, 0.66868
0.24625, 0.67553, 0.66854
0.24725, 0.67537, 0.66839
0.24825,  0.6752, 0.66823
0.24925, 0.67502, 0.66806
0.25025, 0.67484, 0.66788
0.25125, 0.67465,  0.6677
0.25225, 0.67444,  0.6675
0.25325, 0.67423,  0.6673
0.25425, 0.67402, 0.66709
0.25526, 0.67379, 0.66687
0.25626, 0.67356, 0.66665
0.25726, 0.67332, 0.66642
0.25826, 0.67307, 0.66617
0.25926, 0.67281, 0.66593
0.26026, 0.67255, 0.66567
0.26126, 0.67228, 0.66541
0.26226,   0.672, 0.66514
0.26326, 0.67171, 0.66486
0.26426, 0.67142, 0.66457
0.26527, 0.67112, 0.66428
0.26627, 0.67081, 0.66398
0.26727,  0.6705, 0.66368
0.26827, 0.67018, 0.66336
0.26927, 0.66985, 0.66304
0.27027, 0.66952, 0.66272
0.27127, 0.66918, 0.66238
0.27227, 0.66883, 0.66204
0.27327, 0.66847,  0.6617
0.27427, 0.66811, 0.66134
0.27528, 0.66774, 0.66099
0.27628, 0.66737, 0.66062
0.27728, 0.66699, 0.66025
0.27828,  0.6666, 0.65987
0.27928, 0.66621, 0.65948
0.28028, 0.66581, 0.65909
0.28128, 0.66541,  0.6587
