t_general, t_special
0.0247882, 0.0175528
0.0215983, 0.0160694
0.0240126, 0.0161839
0.0207229, 0.0204471
0.0188806, 0.0186878
0.0195469, 0.020335
0.0182425, 0.0147856
0.0234565, 0.0302707
0.0221841, 0.0168852
0.0275743, 0.0223088
0.0232181, 0.028756
0.0195003, 0.0174758
0.0189872, 0.0295577
0.0217749, 0.015043
0.0188583, 0.0180937
0.019362, 0.01442
0.0208254, 0.0146428
