final_temp , Eaverage/L/L , Evariance/final_temp/final_temp , Mabsvariance/final_temp , Mabsvariance/L/L1
1, -0.42404, 219.624, 2.83775, 0.04543
1, -0.42754, 220.881, 2.84322, 0.04571
1, -0.43104, 222.129, 2.8479, 0.04598
1, -0.43456, 223.389, 2.84946, 0.0462
1, -0.43808, 224.638, 2.85152, 0.04643
1, -0.44154, 225.815, 2.85834, 0.04673
1, -0.44502, 227.003, 2.86971, 0.04708
1, -0.4485, 228.181, 2.87341, 0.04734
1, -0.45198, 229.35, 2.87642, 0.04759
1, -0.45548, 230.529, 2.87937, 0.04784
1, -0.459, 231.72, 2.88061, 0.04806
1, -0.46254, 232.921, 2.88348, 0.04831
1, -0.46604, 234.071, 2.88629, 0.04856
1, -0.46958, 235.253, 2.88846, 0.0488
1, -0.4731, 236.404, 2.88864, 0.049
1, -0.47662, 237.544, 2.88748, 0.04916
1, -0.48014, 238.675, 2.88899, 0.04939
1, -0.48364, 239.776, 2.8951, 0.04969
1, -0.48714, 240.867, 2.90196, 0.05
1, -0.4906, 241.908, 2.90332, 0.05023
1, -0.49406, 242.94, 2.90255, 0.05041
1, -0.49756, 244.001, 2.90059, 0.05053
1, -0.50104, 245.033, 2.89955, 0.05056
1, -0.50452, 246.056, 2.89803, 0.05061
1, -0.50798, 247.049, 2.89651, 0.05066
1, -0.51144, 248.032, 2.89447, 0.05075
1, -0.51492, 249.026, 2.89374, 0.05077
1, -0.51838, 249.99, 2.89301, 0.05079
1, -0.52186, 250.964, 2.8917, 0.05083
1, -0.5253, 251.89, 2.8917, 0.05083
1, -0.52876, 252.825, 2.8904, 0.05087
1, -0.53226, 253.79, 2.8904, 0.05087
1, -0.53576, 254.745, 2.89001, 0.05088
1, -0.53924, 255.67, 2.8887, 0.05092
1, -0.54272, 256.586, 2.88698, 0.05098
1, -0.5462, 257.493, 2.8851, 0.05105
1, -0.5497, 258.408, 2.88405, 0.05108
1, -0.55318, 259.295, 2.88332, 0.0511
1, -0.55668, 260.191, 2.88332, 0.0511
1, -0.56016, 261.059, 2.88332, 0.0511
1, -0.56366, 261.936, 2.882, 0.05114
