T , <E> , Cv , X , <|M|>
2 , -1.7454405 , 0.74835494 , 0.39765864 , 0.91106994
2.005 , -1.742805 , 0.77139972 , 0.41582763 , 0.91012992
2.01 , -1.7385311 , 0.76933379 , 0.41200038 , 0.90826096
2.015 , -1.7337318 , 0.77492199 , 0.48139762 , 0.90538784
2.02 , -1.7322063 , 0.76484641 , 0.41268723 , 0.90552048
2.025 , -1.7262237 , 0.78802758 , 0.5154529 , 0.90188782
2.03 , -1.7230682 , 0.77898462 , 0.47725866 , 0.9007887
2.035 , -1.7184795 , 0.81230419 , 0.54323817 , 0.8983428
2.04 , -1.7139105 , 0.7982338 , 0.50711343 , 0.89631684
2.045 , -1.711946 , 0.78361253 , 0.49502989 , 0.8956955
2.05 , -1.7066377 , 0.82172913 , 0.58945145 , 0.89258292
2.055 , -1.7029962 , 0.81165959 , 0.52754337 , 0.89122518
2.06 , -1.6992562 , 0.84607382 , 0.57375624 , 0.88933728
2.065 , -1.6937769 , 0.86949395 , 0.64024618 , 0.8861973
2.07 , -1.6897128 , 0.97960629 , 0.72114555 , 0.8840726
2.075 , -1.6849988 , 0.88847734 , 0.66839501 , 0.88141884
2.08 , -1.6805766 , 0.95249555 , 0.82692471 , 0.87910358
2.085 , -1.6755877 , 0.94997748 , 0.84914875 , 0.8762224
2.09 , -1.671276 , 0.97238295 , 0.82531582 , 0.87382984
2.095 , -1.665553 , 0.95103576 , 0.95255784 , 0.87018862
2.1 , -1.6607046 , 0.97859529 , 0.97356808 , 0.86755098
2.105 , -1.6573714 , 0.98470012 , 0.99486367 , 0.86561004
2.11 , -1.6510294 , 0.98356568 , 1.099194 , 0.86163366
2.115 , -1.6440458 , 1.0128786 , 1.2921574 , 0.8561576
2.12 , -1.6434508 , 1.0362397 , 1.183154 , 0.85786532
2.125 , -1.6353733 , 1.0975206 , 1.2687698 , 0.85280912
2.13 , -1.6323648 , 1.0640867 , 1.1731322 , 0.85110798
2.135 , -1.6259329 , 1.0832562 , 1.7005044 , 0.84604626
2.14 , -1.6219752 , 1.0671188 , 1.3271774 , 0.84527864
2.145 , -1.615463 , 1.1718922 , 1.5573263 , 0.84027584
2.15 , -1.6095941 , 1.1076758 , 1.4889445 , 0.8368617
2.155 , -1.6022066 , 1.2598813 , 2.2660612 , 0.82969058
2.16 , -1.5997446 , 1.2076399 , 1.8445132 , 0.83006762
2.165 , -1.5934318 , 1.2403325 , 1.9813094 , 0.8248978
2.17 , -1.5839552 , 1.3850641 , 2.9276069 , 0.81575332
2.175 , -1.5802588 , 1.2754128 , 2.0781376 , 0.8159564
2.18 , -1.5733504 , 1.4346195 , 4.6328413 , 0.80650348
2.185 , -1.5676488 , 1.5094592 , 3.7614289 , 0.80512992
2.19 , -1.5571543 , 1.371128 , 3.7080875 , 0.7917806
2.195 , -1.5527314 , 1.481564 , 4.4408762 , 0.78965186
2.2 , -1.5517329 , 1.3720737 , 3.0224388 , 0.79514422
2.205 , -1.544805 , 1.4750174 , 4.4627705 , 0.78667088
2.21 , -1.5342702 , 1.5377807 , 4.796205 , 0.77646636
2.215 , -1.5216444 , 1.8706866 , 19.695351 , 0.74360464
2.22 , -1.5145997 , 1.5276552 , 4.8483727 , 0.75498654
2.225 , -1.5157647 , 1.658777 , 5.6479501 , 0.76225916
2.23 , -1.4938584 , 1.9383316 , 12.110605 , 0.71824444
2.235 , -1.4969805 , 1.5471231 , 6.0955123 , 0.73747536
2.24 , -1.4845565 , 1.6924959 , 10.677226 , 0.7160937
2.245 , -1.4741982 , 1.8838619 , 19.803938 , 0.69282656
2.25 , -1.4730974 , 1.6783087 , 7.6114025 , 0.71066968
2.255 , -1.4415934 , 3.2235605 , 85.306354 , 0.59550516
2.26 , -1.4430472 , 1.8459155 , 13.48693 , 0.65234796
2.265 , -1.4326853 , 2.1534948 , 33.5785 , 0.6154676
2.27 , -1.4243175 , 2.2031553 , 27.604843 , 0.61635478
2.275 , -1.4256328 , 1.7107947 , 15.178867 , 0.638352
2.28 , -1.3944259 , 3.2857063 , 188.60391 , 0.48105998
2.285 , -1.3926471 , 2.2538739 , 35.798532 , 0.53897176
2.29 , -1.3853113 , 2.2122612 , 46.454727 , 0.53412548
2.295 , -1.3728739 , 2.734737 , 117.22142 , 0.46976746
2.3 , -1.3407097 , 2.4500565 , 146.66674 , 0.31115808
