T , <E> , Cv , X , <|M|>
2 , -1.7454942 , 0.76280823 , 2.0975114 , 0.91071626
2.005 , -1.7418033 , 0.78167722 , 2.0953275 , 0.90905402
2.01 , -1.7377863 , 0.83213321 , 7.5400813 , 0.90542263
2.015 , -1.7339818 , 0.84998549 , 14.945966 , 0.902142
2.02 , -1.7305293 , 0.81284644 , 2.1256386 , 0.90376317
2.025 , -1.7266819 , 0.81754172 , 2.2039142 , 0.90198795
2.03 , -1.7226536 , 0.83916028 , 3.1714452 , 0.89956506
2.035 , -1.7175715 , 1.0518862 , 50.697165 , 0.88523495
2.04 , -1.7141132 , 0.96129063 , 21.312341 , 0.89034046
2.045 , -1.7106532 , 0.90458838 , 8.0299029 , 0.89226741
2.05 , -1.7065427 , 0.89235832 , 4.7679822 , 0.89128923
2.055 , -1.7023849 , 0.91555828 , 5.7861245 , 0.88910467
2.06 , -1.6980966 , 0.90687472 , 3.0184975 , 0.88747231
2.065 , -1.693739 , 0.93547223 , 5.5061387 , 0.88464959
2.07 , -1.6896438 , 0.93222721 , 2.7553733 , 0.88336321
2.075 , -1.6850572 , 0.93559415 , 2.5275691 , 0.88076012
2.08 , -1.680251 , 0.99575267 , 8.7595011 , 0.87622729
2.085 , -1.6759484 , 0.97698285 , 4.5968504 , 0.8753577
2.09 , -1.6713047 , 0.98013554 , 2.9645612 , 0.87316375
2.095 , -1.6656474 , 1.1615227 , 41.441624 , 0.86018261
2.1 , -1.6597958 , 1.3536747 , 74.829552 , 0.84739308
2.105 , -1.6570999 , 1.0379302 , 3.2774641 , 0.86501549
2.11 , -1.6522771 , 1.0582883 , 6.2678649 , 0.86156184
2.115 , -1.6470126 , 1.0871032 , 8.4439916 , 0.85769469
2.12 , -1.6419394 , 1.0775228 , 4.059182 , 0.85562296
2.125 , -1.6368006 , 1.0944533 , 4.0130123 , 0.85254908
2.13 , -1.6315394 , 1.1166464 , 4.7649995 , 0.84892754
2.135 , -1.6262497 , 1.1162752 , 2.5092957 , 0.84625252
2.14 , -1.6207434 , 1.1330083 , 2.8409898 , 0.84267372
2.145 , -1.6150243 , 1.1797832 , 5.9329293 , 0.83788468
2.15 , -1.6096813 , 1.1758499 , 2.3543148 , 0.83556764
2.155 , -1.6038719 , 1.1945949 , 2.6628999 , 0.83128548
2.16 , -1.5981968 , 1.2090154 , 3.2106907 , 0.82717115
2.165 , -1.5915873 , 1.2808729 , 11.812487 , 0.81949969
2.17 , -1.5859898 , 1.2816542 , 8.1013287 , 0.81711143
2.175 , -1.5797253 , 1.3257379 , 8.1734742 , 0.81201485
2.18 , -1.5732317 , 1.3396279 , 8.588994 , 0.80664738
2.185 , -1.5663067 , 1.411208 , 17.368376 , 0.79816805
2.19 , -1.5597725 , 1.4240831 , 13.167051 , 0.79369879
2.195 , -1.5534403 , 1.4055398 , 4.7221777 , 0.79118859
2.2 , -1.5463544 , 1.4410046 , 8.7577332 , 0.78344137
2.205 , -1.5392987 , 1.4857137 , 6.2248313 , 0.77771525
2.21 , -1.5311723 , 1.543612 , 7.9661637 , 0.76800395
2.215 , -1.5239648 , 1.5623972 , 9.892372 , 0.76094786
2.22 , -1.5163861 , 1.5978834 , 10.481939 , 0.75298139
2.225 , -1.5086029 , 1.6607974 , 14.373241 , 0.74360062
2.23 , -1.4997796 , 1.7370482 , 29.178868 , 0.72803132
2.235 , -1.4916709 , 1.796487 , 16.980552 , 0.72153758
2.24 , -1.4821403 , 1.8944158 , 28.243112 , 0.70443776
2.245 , -1.4733476 , 2.0026363 , 39.431763 , 0.68955847
2.25 , -1.4629526 , 2.0156861 , 36.113435 , 0.67258495
2.255 , -1.4534053 , 2.1144782 , 47.924953 , 0.65510448
2.26 , -1.4413186 , 2.21966 , 61.376374 , 0.62452311
2.265 , -1.4277585 , 2.4231161 , 104.03763 , 0.57859733
2.27 , -1.4181785 , 2.4669014 , 102.99199 , 0.56091396
2.275 , -1.407882 , 2.4998834 , 122.82416 , 0.53319517
2.28 , -1.3957025 , 2.4615551 , 130.92662 , 0.49814612
2.285 , -1.3819739 , 2.4332699 , 145.1737 , 0.44579521
2.29 , -1.3712005 , 2.3071335 , 143.78682 , 0.41308231
2.295 , -1.3597597 , 2.1956606 , 147.78197 , 0.37129998
2.3 , -1.3455366 , 2.0621964 , 141.46073 , 0.30651567
