T , <E> , Cv , X , <|M|>
2 , -1.745757 , 0.756699 , 0.38621803 , 0.91152222
2.005 , -1.7414567 , 0.73772636 , 0.44870532 , 0.90884031
2.01 , -1.7383943 , 0.74205738 , 0.38751704 , 0.90822347
2.015 , -1.7342604 , 0.75910233 , 0.46050184 , 0.90576338
2.02 , -1.7306311 , 0.75643975 , 0.46677086 , 0.90415691
2.025 , -1.7276282 , 0.77839819 , 0.49328759 , 0.90294534
2.03 , -1.7235971 , 0.78986203 , 0.45092882 , 0.90146231
2.035 , -1.7186408 , 0.79008134 , 0.48052296 , 0.89868762
2.04 , -1.714461 , 0.82690556 , 0.56483062 , 0.89624094
2.045 , -1.7104324 , 0.80414609 , 0.55867344 , 0.89437837
2.05 , -1.7075354 , 0.7825555 , 0.52081485 , 0.89359659
2.055 , -1.702426 , 0.83245504 , 0.598225 , 0.89043912
2.06 , -1.6995272 , 0.82426018 , 0.52735781 , 0.88970559
2.065 , -1.6936518 , 0.87332955 , 0.63494971 , 0.88633853
2.07 , -1.6888304 , 0.85563051 , 0.82408012 , 0.88274509
2.075 , -1.6863587 , 0.89741493 , 0.72333407 , 0.88263031
2.08 , -1.6800601 , 0.91075706 , 0.81580988 , 0.87764191
2.085 , -1.6770879 , 0.90489599 , 0.81395382 , 0.87728328
2.09 , -1.6697923 , 1.0084707 , 1.0118573 , 0.8724645
2.095 , -1.6668436 , 0.91326876 , 0.77686564 , 0.87181166
2.1 , -1.6615358 , 0.96994284 , 1.0483505 , 0.86707522
2.105 , -1.6588483 , 0.98451966 , 0.92183129 , 0.86736756
2.11 , -1.6536476 , 1.0043911 , 0.99835002 , 0.86417463
2.115 , -1.6483532 , 1.0846663 , 1.2196908 , 0.86122138
2.12 , -1.6415541 , 1.0778437 , 1.1126567 , 0.85701041
2.125 , -1.6369278 , 1.0303396 , 1.2018209 , 0.85392659
2.13 , -1.6301847 , 1.0982177 , 1.2660296 , 0.84972591
2.135 , -1.6278864 , 1.1340229 , 1.3558027 , 0.84876094
2.14 , -1.6223437 , 1.1155147 , 1.4722788 , 0.84481087
2.145 , -1.6140118 , 1.1593281 , 1.9367276 , 0.83752944
2.15 , -1.6100497 , 1.1118145 , 1.4673118 , 0.83731809
2.155 , -1.6045763 , 1.166352 , 1.7334627 , 0.83291316
2.16 , -1.598912 , 1.2652368 , 2.4200692 , 0.82750944
2.165 , -1.5928524 , 1.114904 , 1.6418472 , 0.82561159
2.17 , -1.5769322 , 1.4680633 , 6.6573041 , 0.79690444
2.175 , -1.5819194 , 1.2188458 , 2.0877265 , 0.81785197
2.18 , -1.5775238 , 1.2286947 , 2.1669323 , 0.813759
2.185 , -1.567188 , 1.3892688 , 3.6342804 , 0.80229913
2.19 , -1.5615742 , 1.3888968 , 2.8418823 , 0.80281316
2.195 , -1.5572903 , 1.5089134 , 3.6472673 , 0.79811637
2.2 , -1.5464669 , 1.3712487 , 4.2869783 , 0.78587169
2.205 , -1.5363291 , 1.4387734 , 5.0092988 , 0.77103634
2.21 , -1.5345286 , 1.4025844 , 3.8609082 , 0.77689913
2.215 , -1.5243913 , 1.7287023 , 18.537383 , 0.75290253
2.22 , -1.5148056 , 1.7274998 , 14.225391 , 0.74016106
2.225 , -1.5137237 , 1.9218088 , 16.754115 , 0.74975128
2.23 , -1.4997211 , 1.7909478 , 12.045476 , 0.72958966
2.235 , -1.4915839 , 1.5854658 , 7.731859 , 0.72517484
2.24 , -1.4830163 , 1.9086124 , 13.936513 , 0.71403975
2.245 , -1.4741284 , 1.9099684 , 12.685127 , 0.70026719
2.25 , -1.4687346 , 1.7337574 , 11.262136 , 0.69567238
2.255 , -1.4533379 , 2.0468752 , 19.360392 , 0.66521484
2.26 , -1.4340629 , 2.6553347 , 51.016641 , 0.60648903
2.265 , -1.437322 , 1.9375077 , 23.47636 , 0.64726825
2.27 , -1.4241474 , 1.9748043 , 32.548379 , 0.60720772
2.275 , -1.4058817 , 2.5110121 , 53.632119 , 0.54990191
2.28 , -1.4102493 , 2.2782113 , 38.805265 , 0.60494247
2.285 , -1.3822233 , 1.9783168 , 75.220643 , 0.45718184
2.29 , -1.3800454 , 2.2081147 , 85.297485 , 0.46935994
2.295 , -1.3832694 , 2.1903591 , 43.112462 , 0.552954
2.3 , -1.3653356 , 2.0301805 , 91.967869 , 0.46520891
