T , <E> , Cv , X , <|M|>
2 , -1.7455242 , 0.725333 , 0.38839382 , 0.91126941
2.005 , -1.7418497 , 0.73436315 , 0.39962388 , 0.90961448
2.01 , -1.7382838 , 0.74512018 , 0.41468242 , 0.90801819
2.015 , -1.7344918 , 0.75438695 , 0.43869176 , 0.90619757
2.02 , -1.7305858 , 0.76274931 , 0.45260667 , 0.90429629
2.025 , -1.7268513 , 0.77510347 , 0.46457138 , 0.90263566
2.03 , -1.7229326 , 0.78550409 , 0.48670239 , 0.90073074
2.035 , -1.7190262 , 0.79600246 , 0.51037361 , 0.89883519
2.04 , -1.7148862 , 0.80513699 , 0.53032484 , 0.89679908
2.045 , -1.7107588 , 0.81670267 , 0.55973167 , 0.89469816
2.05 , -1.7067486 , 0.83219222 , 0.57747385 , 0.89278737
2.055 , -1.702568 , 0.84158042 , 0.61559795 , 0.89058167
2.06 , -1.6983034 , 0.8551105 , 0.63409692 , 0.88843611
2.065 , -1.6939999 , 0.87069498 , 0.66932074 , 0.8862003
2.07 , -1.6895496 , 0.879845 , 0.71142687 , 0.88377852
2.075 , -1.6853553 , 0.89056375 , 0.71815486 , 0.88174811
2.08 , -1.6807517 , 0.8980688 , 0.75453648 , 0.87921115
2.085 , -1.6763004 , 0.91643986 , 0.79427721 , 0.87680642
2.09 , -1.6715594 , 0.93626412 , 0.84395299 , 0.87412514
2.095 , -1.6669162 , 0.94506819 , 0.94475184 , 0.8714979
2.1 , -1.6620421 , 0.96292959 , 0.96722305 , 0.86867774
2.105 , -1.6572724 , 0.97735057 , 0.98374683 , 0.86604465
2.11 , -1.6524676 , 0.99032739 , 1.0476045 , 0.86325065
2.115 , -1.6474313 , 1.0087244 , 1.1061737 , 0.8602791
2.12 , -1.6424307 , 1.0240057 , 1.2158006 , 0.85711128
2.125 , -1.6372552 , 1.0313679 , 1.2189073 , 0.85412219
2.13 , -1.6321129 , 1.0637939 , 1.3416139 , 0.85085018
2.135 , -1.6264607 , 1.076349 , 1.4391548 , 0.84696827
2.14 , -1.6208686 , 1.0957828 , 1.6043261 , 0.84319007
2.145 , -1.6155106 , 1.1188777 , 1.6667711 , 0.83978355
2.15 , -1.6097055 , 1.1468077 , 1.8839091 , 0.83555083
2.155 , -1.6040379 , 1.1676271 , 2.090705 , 0.83157069
2.16 , -1.5980093 , 1.1855218 , 2.0490693 , 0.82740298
2.165 , -1.5922247 , 1.1957618 , 2.1698493 , 0.8234038
2.17 , -1.5859325 , 1.2402667 , 2.5645335 , 0.81831647
2.175 , -1.5795031 , 1.2715074 , 3.0556623 , 0.81304268
2.18 , -1.573279 , 1.2774492 , 2.9519156 , 0.8085464
2.185 , -1.5672141 , 1.3170415 , 3.3375333 , 0.80343709
2.19 , -1.5602417 , 1.3382332 , 3.765428 , 0.7972992
2.195 , -1.5534065 , 1.3784458 , 4.3231326 , 0.79133107
2.2 , -1.5466951 , 1.4109966 , 4.544522 , 0.78539103
2.205 , -1.5398033 , 1.4447896 , 5.1374014 , 0.77909308
2.21 , -1.5316131 , 1.4968424 , 6.0710006 , 0.76973065
2.215 , -1.524708 , 1.5224866 , 6.5131132 , 0.76336762
2.22 , -1.5171148 , 1.5892253 , 11.036276 , 0.75349107
2.225 , -1.5083596 , 1.6657186 , 12.484978 , 0.74225188
2.23 , -1.4999982 , 1.6722123 , 11.27159 , 0.73347344
2.235 , -1.4915128 , 1.7613637 , 15.467726 , 0.72155143
2.24 , -1.4832596 , 1.7824778 , 14.013867 , 0.71271332
2.245 , -1.4741126 , 1.8429732 , 22.221497 , 0.69681793
2.25 , -1.4628987 , 2.0520207 , 38.620456 , 0.66989041
2.255 , -1.4535456 , 2.1042444 , 45.942875 , 0.65335717
2.26 , -1.4424063 , 2.2391662 , 55.650175 , 0.62964135
2.265 , -1.4307122 , 2.2350322 , 59.27172 , 0.60259084
2.27 , -1.4201278 , 2.344166 , 78.217716 , 0.57530684
2.275 , -1.4063256 , 2.4136364 , 97.063204 , 0.53131461
2.28 , -1.3951326 , 2.3628297 , 93.275047 , 0.50604318
2.285 , -1.3820939 , 2.3501974 , 103.57441 , 0.46340012
2.29 , -1.3734766 , 2.3396051 , 104.45843 , 0.44511052
2.295 , -1.3613542 , 2.2145598 , 100.86802 , 0.41305072
2.3 , -1.3502671 , 2.1608204 , 105.41609 , 0.373844
