T , <E> , Cv , X , <|M|>
2 , -1.7471694 , 0.80010072 , 0.39187875 , 0.91226594
2.005 , -1.7381031 , 0.94235096 , 0.49846411 , 0.90683531
2.01 , -1.7379369 , 0.76865696 , 0.37447139 , 0.90815625
2.015 , -1.73507 , 0.85466782 , 0.41801863 , 0.90731594
2.02 , -1.7302488 , 0.8659651 , 0.42283252 , 0.90501125
2.025 , -1.7287363 , 0.81632527 , 0.41293191 , 0.90412063
2.03 , -1.7230625 , 0.77244777 , 0.40720809 , 0.90076688
2.035 , -1.7181963 , 0.81264662 , 0.54446365 , 0.89732313
2.04 , -1.7179425 , 0.80529047 , 0.50794843 , 0.89818031
2.045 , -1.7079881 , 0.97833408 , 0.76067547 , 0.891505
2.05 , -1.707635 , 0.97633869 , 0.5968649 , 0.89375344
2.055 , -1.7032506 , 1.0295716 , 0.65732938 , 0.89058938
2.06 , -1.6966438 , 0.92614001 , 0.56646165 , 0.88881875
2.065 , -1.6982 , 0.98988538 , 0.52331677 , 0.89082
2.07 , -1.6933912 , 0.83244914 , 0.49123683 , 0.88746781
2.075 , -1.6874494 , 1.050612 , 0.68351178 , 0.88386813
2.08 , -1.6769531 , 0.91413957 , 1.128189 , 0.87317531
2.085 , -1.6806475 , 1.019537 , 0.61770837 , 0.88151844
2.09 , -1.6747138 , 1.105736 , 0.77006848 , 0.87656344
2.095 , -1.6704025 , 1.0258687 , 0.83855412 , 0.87389875
2.1 , -1.6606931 , 1.1966968 , 0.94982928 , 0.86728
2.105 , -1.6581494 , 0.98808486 , 0.94541401 , 0.86514375
2.11 , -1.6512806 , 1.108548 , 0.85307373 , 0.86323375
2.115 , -1.6426625 , 1.2470479 , 1.3414508 , 0.85449906
2.12 , -1.6442375 , 1.3380071 , 1.3543737 , 0.85989469
2.125 , -1.6425344 , 1.0252523 , 0.99975186 , 0.85793219
2.13 , -1.6291238 , 1.1321047 , 1.330636 , 0.84753031
2.135 , -1.6244688 , 1.3097826 , 1.5437849 , 0.84574594
2.14 , -1.62113 , 1.4156614 , 1.9206024 , 0.84517906
2.145 , -1.6149975 , 1.5129357 , 1.9579341 , 0.83880437
2.15 , -1.6201056 , 1.220884 , 1.0478987 , 0.84821844
2.155 , -1.6049437 , 1.2016505 , 1.1527502 , 0.8372525
2.16 , -1.6092163 , 1.1958845 , 1.3599739 , 0.83893469
2.165 , -1.594785 , 1.2877404 , 1.2936372 , 0.82948844
2.17 , -1.5916756 , 1.3135219 , 1.566487 , 0.82689531
2.175 , -1.5816344 , 1.5997985 , 2.7575537 , 0.81503969
2.18 , -1.5810587 , 1.6973342 , 2.5586113 , 0.81817219
2.185 , -1.5775113 , 1.4163229 , 2.1791184 , 0.81734656
2.19 , -1.55709 , 1.456577 , 3.783684 , 0.79183781
2.195 , -1.5481525 , 2.0808029 , 5.5158763 , 0.77979687
2.2 , -1.5554144 , 1.4723861 , 2.0854843 , 0.80084469
2.205 , -1.5518369 , 1.1648425 , 2.099662 , 0.8006
2.21 , -1.5346588 , 1.8676931 , 5.0570366 , 0.77575219
2.215 , -1.5358225 , 1.8430688 , 3.8518979 , 0.78413969
2.22 , -1.5213531 , 2.1155607 , 5.0648982 , 0.76576219
2.225 , -1.5211169 , 1.9929229 , 4.303069 , 0.77357906
2.23 , -1.5082237 , 2.0655297 , 10.16019 , 0.74647938
2.235 , -1.5068744 , 1.856066 , 5.5579093 , 0.75509344
2.24 , -1.5009569 , 1.6943345 , 5.3867901 , 0.75197
2.245 , -1.4706869 , 2.1314186 , 15.086281 , 0.69422187
2.25 , -1.4731431 , 1.94641 , 16.954126 , 0.6768475
2.255 , -1.4713294 , 2.1745738 , 5.7290988 , 0.72350344
2.26 , -1.4646644 , 2.2657357 , 11.037638 , 0.70537875
2.265 , -1.463555 , 1.8706727 , 4.8249343 , 0.7178175
2.27 , -1.4206244 , 3.6119219 , 28.319914 , 0.61544438
2.275 , -1.4283219 , 2.3840868 , 17.876323 , 0.631995
2.28 , -1.4186738 , 2.7880594 , 24.840697 , 0.62291406
2.285 , -1.4180644 , 3.0971571 , 17.600997 , 0.63710969
2.29 , -1.3984287 , 2.7347618 , 17.052807 , 0.61456156
2.295 , -1.3749094 , 3.9038784 , 62.666156 , 0.52487031
2.3 , -1.3969962 , 2.7902525 , 27.187335 , 0.60133813
