T , <E> , Cv , X , <|M|>
2 , -1.7471409 , 0.70521828 , 0.33998417 , 0.91254031
2.005 , -1.7408648 , 0.74054768 , 0.41186086 , 0.90899113
2.01 , -1.7374353 , 0.76746268 , 0.4397413 , 0.90746306
2.015 , -1.7344486 , 0.76319374 , 0.43642318 , 0.90620497
2.02 , -1.7310341 , 0.76576543 , 0.45535085 , 0.90466422
2.025 , -1.7271368 , 0.73963617 , 0.42295897 , 0.90303425
2.03 , -1.7231787 , 0.82926771 , 0.544096 , 0.90064859
2.035 , -1.7186951 , 0.85843361 , 0.5643054 , 0.89844303
2.04 , -1.7150334 , 0.7997542 , 0.49166713 , 0.89713091
2.045 , -1.7103424 , 0.83500894 , 0.55479587 , 0.89417834
2.05 , -1.7063474 , 0.85663041 , 0.52467134 , 0.89283253
2.055 , -1.7033779 , 0.81223039 , 0.56363308 , 0.89139728
2.06 , -1.6967504 , 0.86352848 , 0.65868642 , 0.88737906
2.065 , -1.6934481 , 0.933183 , 0.74473836 , 0.88564231
2.07 , -1.6886484 , 0.85627313 , 0.72326228 , 0.88277431
2.075 , -1.683975 , 0.85419399 , 0.69105733 , 0.88050528
2.08 , -1.6830608 , 0.85065206 , 0.62800147 , 0.88129397
2.085 , -1.6758343 , 0.89501058 , 0.77248566 , 0.87633994
2.09 , -1.6721464 , 0.96454973 , 0.74647355 , 0.87572062
2.095 , -1.6664127 , 0.99617793 , 1.1346743 , 0.87050413
2.1 , -1.6616807 , 0.99891587 , 0.99843412 , 0.86803619
2.105 , -1.6584007 , 0.96414855 , 0.88960896 , 0.86724066
2.11 , -1.6513619 , 0.98842331 , 1.0097336 , 0.86225284
2.115 , -1.6490954 , 0.97423326 , 1.0200542 , 0.86178209
2.12 , -1.6428937 , 1.0520075 , 1.1810001 , 0.85724159
2.125 , -1.6371868 , 1.0828514 , 1.139158 , 0.85470806
2.13 , -1.6323888 , 1.0868517 , 1.2426944 , 0.8515875
2.135 , -1.6239695 , 1.1788828 , 2.9265017 , 0.84198097
2.14 , -1.6219189 , 1.1118195 , 1.2915141 , 0.84607984
2.145 , -1.6165645 , 1.1357743 , 1.4880025 , 0.84106072
2.15 , -1.6095554 , 1.1055409 , 1.4241687 , 0.83698897
2.155 , -1.6054145 , 1.1910925 , 2.2694306 , 0.83147403
2.16 , -1.5950619 , 1.2398857 , 4.0459819 , 0.81876528
2.165 , -1.5929089 , 1.2750539 , 2.0947052 , 0.82482791
2.17 , -1.58158 , 1.3846997 , 4.2005269 , 0.80793128
2.175 , -1.5793047 , 1.2972322 , 2.294948 , 0.81273897
2.18 , -1.5792592 , 1.1260351 , 1.693798 , 0.81743391
2.185 , -1.5693335 , 1.3684067 , 3.6827343 , 0.80740416
2.19 , -1.5595036 , 1.3234641 , 3.4104277 , 0.79512722
2.195 , -1.5496823 , 1.7065225 , 14.872671 , 0.77805587
2.2 , -1.5452341 , 1.6341644 , 9.0859241 , 0.78032734
2.205 , -1.538096 , 1.4776721 , 4.5077358 , 0.77779397
2.21 , -1.5318532 , 1.56046 , 5.7439144 , 0.76985981
2.215 , -1.5229121 , 1.7440739 , 8.6133351 , 0.758476
2.22 , -1.5188081 , 1.4992816 , 4.3145568 , 0.76368903
2.225 , -1.5092558 , 1.4421358 , 4.4828197 , 0.75271062
2.23 , -1.5054813 , 1.4970324 , 5.3587164 , 0.7505715
2.235 , -1.4953656 , 1.5017208 , 6.0056551 , 0.73777822
2.24 , -1.4834126 , 1.6198402 , 7.2628137 , 0.72049009
2.245 , -1.4633936 , 2.5541895 , 105.6741 , 0.62340666
2.25 , -1.4688136 , 1.6342698 , 10.250816 , 0.697562
2.255 , -1.4568924 , 1.6703356 , 12.502523 , 0.67528697
2.26 , -1.4330021 , 2.6985674 , 118.64281 , 0.531139
2.265 , -1.4391683 , 1.9086112 , 26.853622 , 0.64403794
2.27 , -1.4292158 , 2.151696 , 37.804673 , 0.62661381
2.275 , -1.4179707 , 2.0009707 , 19.159795 , 0.61935097
2.28 , -1.3999971 , 2.1522459 , 51.623445 , 0.54470741
2.285 , -1.3783781 , 2.2437106 , 63.716073 , 0.44698109
2.29 , -1.3801766 , 2.707687 , 119.05978 , 0.45389894
2.295 , -1.3790526 , 2.5202283 , 90.021796 , 0.50309872
2.3 , -1.3654513 , 2.5055282 , 100.08374 , 0.46697575
